#,Discourse Connector,Class,Category,BNC academic,COCA academic,BNC spoken,COCA spoken,BNC non-academic,COCA general,BNC all,COCA all
418,by the same token,Additive,Equative,2.5,2.8,0.5,1.5,1.9,1.3,1.5,1.4
419,all manner of,Clarification,Generalization,2.4,1.5,0.9,0.5,3.8,2.9,3,2.1
420,sooner or later,Sequential,Transitionals,2.4,2.4,3.3,5.1,3.6,4.4,5.2,5.1
421,one consequence of,Consequential,Causative,2.4,0.8,0,0.1,1.3,0.2,0.8,0.3
422,it is noteworthy that,Clarification,Corroborative,2.4,2.3,0.1,0,1,0.1,0.8,0.5
423,support that,Apposition,Restatement,2.4,4.2,6.1,9.1,1.3,2.4,2.1,3.7
424,during this time,Sequential,Transitionals,2.3,5.6,0.6,1.6,3.8,2,2.9,2.5
425,most of all,Clarification,Emphasizing,2.3,3.1,1.3,4.6,2.8,5.7,4.1,5.2
426,most important of all,Clarification,Emphasizing,2.3,0.7,0.4,0.5,2.9,0.5,1.8,0.5
427,above all,Clarification,Generalization,2.2,1.9,1,0.3,3.9,2.1,23.1,10.3
428,without question,Clarification,Emphasizing,2.2,1.7,0.3,2.4,2.6,2,2,2
429,of limited value,Clarification,Emphasizing,2.2,0.3,0,0,0.4,0.1,0.5,0.1
430,of note,Clarification,Emphasizing,2.2,2.2,0.7,0.5,2.3,1.6,1.9,1.3
431,put it another way,Apposition,Restatement,2.2,0.8,1.2,0.4,1,0.6,1.1,0.6
432,at any given time,Sequential,Timing,2.2,2,0.6,0.9,0.5,1.5,1.4,1.3
433,in the event that,Consequential,Conditional,2.1,1.9,0.2,1.5,0.7,0.7,1.3,1.1
434,of fundamental importance,Clarification,Emphasizing,2.1,0.3,0.2,0,0.7,0,0.6,0.1
435,without doubt,Clarification,Emphasizing,2.1,1.1,1.1,0.3,2.8,1.7,3,0.6
436,above all else,Clarification,Emphasizing,2,1.4,0.7,0.5,1,1.1,1.1,1
437,up to now,Sequential,Transitionals,2,1.2,4.1,2.3,3.7,1,2.8,1.4
438,of little value,Clarification,Emphasizing,2,0.6,0.1,0,0.6,0.1,0.7,0.2
439,with this in mind,Consequential,Resultative,2,1.5,0.6,0.1,2.1,0.5,1.6,0.6
440,conclude,Sequential,Timing,2,6.5,0,2.2,0.9,1,15,12.7
441,by any means,Clarification,Corroborative,1.9,1.2,2.2,3.6,3,1.7,2,1.9
442,identically,Comparison,,1.9,0.9,0.1,0.1,0.5,0.6,0.8,0.6
443,without exception,Sequential,Timing,1.9,1.8,0.7,0.6,2.1,0.9,1.6,1
444,with particular reference to,Clarification,Generalization,1.9,0.4,0.7,0,2.1,0,1.3,0.1
445,from now on,Sequential,Transitionals,1.9,1.2,4.3,3.8,2.6,2.1,5.2,3.3
446,more precisely,Contrastive,Reformulatory,1.8,1.9,0.1,0.1,0.8,0.5,2.3,2
447,in neither case,Clarification,Generalization,1.8,0.4,0.1,0.1,0.6,0.4,0.5,0.1
448,but this time,Sequential,Timing,1.7,1.6,2.8,4.2,2.9,4.1,5.6,4.7
449,as a matter of fact,Clarification,Corroborative,1.6,1.6,3.6,20.3,1.6,1.3,3.9,7
450,it is evident from,Clarification,Corroborative,1.6,0.5,0,0,0.4,0,0.4,0.1
451,one at a time,Sequential,Timing,1.6,1.7,4.8,4,2.2,3.6,2.2,3.5
452,of prime importance,Clarification,Emphasizing,1.6,0.3,0,0,0.7,0.1,0.7,0.1
453,which is to say,Apposition,Restatement,1.6,2.4,0.4,2.1,0.4,1.9,0.7,2.1
454,all in all,Summation,,1.6,1.8,2.3,1.9,3.5,2.5,3.2,2.3
455,roughly speaking,Clarification,Corroborative,1.6,0.5,0.9,0.2,0.7,0.2,0.6,0.2
456,that is to say,Apposition,Restatement,1.5,0.3,0.5,0.4,1,0.1,7.5,2.8
457,in as much as,Clarification,Emphasizing,1.4,0.4,3,0.3,1.1,0.3,1,0.3
458,of paramount importance,Clarification,Emphasizing,1.4,1.5,0.4,0.1,1.2,0.2,1.1,0.4
459,as illustrated by,Apposition,Exemplification,1.4,1.4,0,0,0.3,0.3,0.4,0.4
460,outwardly,Clarification,Corroborative,1.4,1.6,0,0.4,1.6,3.2,1.8,1.2
461,anyhow,Contrastive,Concessive,1.4,0.6,17.9,2.9,1.3,1.2,4.7,4
462,of critical importance,Clarification,Emphasizing,1.3,1.2,0.1,0.1,0.6,0.2,0.5,0.3
463,take note of,Clarification,Generalization,1.3,0.9,1.3,0.5,1,0.7,1.3,0.7
464,at any rate,Contrastive,Concessive,1.2,0.2,0.4,0.2,0.9,0.1,6.9,2.9
465,in the second place,Sequential,Ordering,1.2,0.4,0,0.3,0.2,0.1,0.4,0.2
466,at the right time,Sequential,Timing,1.2,1.3,3.7,2.5,1.5,3,2.5,2.3
467,aforementioned,Sequential,Transitionals,1.2,7.9,0.3,0.4,0.7,1.9,1.2,2.8
468,culminate,Clarification,Emphasizing,1.2,1.4,0.1,0.3,1.8,0.7,0.8,0.7
469,alright,Sequential,Emphasizing,1.2,0.3,802.1,1.7,1.6,0.6,86.4,4.3
470,as an illustration of,Apposition,Exemplification,1.2,0.6,0,0,0.5,0.4,0.5,0.2
471,viz,Apposition,Restatement,1.2,2,0.2,0,1.6,0.1,1.4,0.5
472,for much of the time,Sequential,Timing,1.2,0,0.4,0,0.4,0.1,0.6,0.1
473,shortly,Sequential,Ordering,1.2,0.5,1.6,2.9,1.3,0.4,1.8,1.1
474,rather better,Contrastive,Replacive,1.1,0.1,1.5,0.1,0.9,0.1,1.1,0.1
475,it is inevitable that,Clarification,Corroborative,1.1,0.5,0.5,0.1,1,0.2,0.8,0.2
476,last,Sequential,Transitionals,1.1,13,3.5,19.2,0.8,23.7,35.2,28.1
477,plus,Additive,Reinforcing,1.1,0.9,6.3,1.3,0.7,2.3,1.6,1.5
478,one result of,Consequential,Causative,1.1,0.8,0,0.2,0.7,0.4,0.4,0.4
479,now and then,Sequential,Timing,1.1,1.9,5.9,6.4,2.4,5.9,5.2,8.1
480,the following week,Sequential,Transitionals,1.1,0.9,4,0.6,2.5,1.4,2.6,1.2
481,after a time,Sequential,Transitionals,1,0.5,0.7,0.2,0.7,0.3,1.6,1
482,all at once,Sequential,Timing,1,0,2.9,2.4,1.8,4.1,3.8,5.3
483,after a while,Sequential,Transitionals,1,1.3,7.2,5.3,2.5,4.4,7.8,7.2
484,of great value,Clarification,Emphasizing,1,0.7,0,0.1,1.6,0.2,0.9,0.3
485,the climax of,Clarification,Emphasizing,1,0.8,0.3,0.3,1.3,0.7,1.3,0.6
486,I assume,Clarification,Corroborative,1,1.2,9.5,12.6,0.9,1.5,3.1,4.9
487,as a corollary,Consequential,Resultative,1,0.6,0.1,0,0.4,0.4,0.3,0.2
488,put simply,Clarification,Corroborative,1,0.8,0,0.1,0.3,1.1,0.6,0.4
489,by way of contrast,Contrastive,Antithetic,1,0.4,0,0,0.3,0.1,0.4,0.1
490,that said,Contrastive,Concessive,0.9,3.4,4.1,19.7,1.7,10,2.9,10.9
491,at any other time,Sequential,Timing,0.9,0.6,0.2,0.4,0.5,0.6,0.9,0.5
492,just in case,Additive,Equative,0.9,0.7,13,4.2,1.7,3.7,5.4,4.4
493,of considerable significance,Clarification,Emphasizing,0.9,0,0,0,0.1,0,0.2,0
494,of little significance,Clarification,Emphasizing,0.9,0.1,0,0,0.4,0,0.3,0
495,of no consequence,Clarification,Emphasizing,0.9,0.2,0.1,0.1,0.9,0.2,0.7,0.3
496,with the passage of time,Sequential,Timing,0.9,0.9,0.1,0.2,1,0.3,0.6,0.4
497,I am afraid,Clarification,Corroborative,0.9,1,0.5,1,1.5,0.8,3.1,1.3
498,one effect of,Consequential,Causative,0.9,0.4,0.1,0.1,0.7,0.1,0.4,0.1
499,oddly enough,Clarification,Corroborative,0.9,0.8,1.5,1.8,1.6,4.7,1.6,1.5
500,to be honest,Clarification,Corroborative,0.9,0.9,23.2,11.1,1,18.6,5.6,5.2
501,as revealed by,Apposition,Exemplification,0.9,0.5,0,0,0.6,0.2,0.3,0.2
502,the example above,Apposition,Exemplification,0.9,0.3,0,0,0.4,0.1,0.3,0.1
503,just,Clarification,Emphasizing,0.8,2.1,93,38.7,1,44.7,11.2,10.2
504,prior to this,Sequential,Transitionals,0.8,1.6,0.9,1.4,1.1,0.5,1,0.8
505,the previous example,Apposition,Exemplification,0.8,0.2,0,0,0.4,0,0.3,0
506,despite that,Contrastive,Concessive,0.7,0.6,1.3,1.9,0.4,1.3,0.9,1.2
507,all the while,Sequential,Timing,0.7,2.5,3.9,2,1.2,4,2.6,4.8
508,meantime,Sequential,Transitionals,0.7,0.3,1.3,5.3,4.2,2.1,14.3,14.4
509,some of the time,Sequential,Timing,0.7,0.8,0.7,0.7,0.6,0.7,0.6,0.7
510,of some value,Clarification,Emphasizing,0.7,0.1,0,0,0.2,0,0.2,0
511,in actual fact,Clarification,Corroborative,0.7,0.3,16,0.2,0.4,0.1,2.3,0.2
512,tentatively,Clarification,Corroborative,0.7,0.4,0,0.1,0.2,0.3,0.6,0.6
513,to tell the truth,Clarification,Corroborative,0.7,0.6,0.1,4.5,0.9,1.5,1.5,2.5
514,for one thing,Apposition,Exemplification,0.7,0.4,0.5,0.4,0.4,1.9,4.4,7.7
515,for the last time,Sequential,Transitionals,0.6,0.5,0.4,1.2,1.3,1.3,2.6,1.7
516,henceforward,Sequential,Transitionals,0.6,0.2,0,0,1.7,0.1,0.6,0.1
517,in the same time,Sequential,Timing,0.6,0.6,0.3,0.4,0.4,0.4,0.3,0.4
518,circa,Comparison,,0.6,3.2,0.1,0.3,1.5,4.5,2.3,2.8
519,the example below,Apposition,Exemplification,0.6,0.1,0,0,2.4,0,0.5,0
520,henceforth,Sequential,Transitionals,0.5,0.2,0,0,0.9,0.1,3.3,1.2
521,in such a manner as,Clarification,Emphasizing,0.5,0.4,0,0,0.7,0,0.3,0.1
522,just then,Sequential,Transitionals,0.5,0.7,1.8,0.9,0.5,1.8,3.2,5.2
523,little by little,Sequential,Transitionals,0.5,0.7,0.2,1.3,0.7,1.3,0.8,1.4
524,under the circumstances,Consequential,Resultative,0.5,1.3,1.1,2.4,0.7,1.1,1.1,1.8
525,thereby,Consequential,Resultative,0.5,0.1,0,0,0.1,0,0.1,0
526,on top of that,Additive,Reinforcing,0.5,0.4,4.1,4.6,0.8,2.3,1.7,2.3
527,now and again,Sequential,Timing,0.5,0.3,11.2,0.9,1.9,0.8,4.1,1.3
528,in a nutshell,Consequential,Resultative,0.5,0.9,1.2,1.5,0.4,1.6,0.8,1.3
529,for long periods of time,Sequential,Transitionals,0.5,1,0.4,0.6,0.7,0.7,0.5,0.7
530,there was a time,Sequential,Timing,0.5,0.7,1.7,4.1,1.2,3.1,1.8,2.8
531,contrariwise,Contrastive,Antithetic,0.5,0.1,0,0,0.1,0.1,0.2,0.1
532,time and time again,Sequential,Timing,0.5,0.7,2.7,4,1.9,1,1.8,1.5
533,it was at this time,Sequential,Timing,0.4,0.2,0.1,0.1,0.9,0.1,0.5,0.1
534,by all means,Clarification,Emphasizing,0.4,0.6,5.2,1.4,0.7,1.2,1.8,1.2
535,ca.,Comparison,,0.4,2.6,0.1,0.1,0.1,1.4,0.2,1.1
536,mind you,Sequential,Emphasizing,0.4,0.3,84.4,2,1.5,1.8,14.1,1.9
537,to illustrate,Apposition,Exemplification,0.4,1.4,0.1,0.1,0.2,0.2,0.4,0.4
538,regarding,Clarification,Emphasizing,0.4,1.1,0.1,0.2,0.1,0.1,0.1,0.3
539,all of the time,Sequential,Timing,0.3,1,0.5,1.7,1,0.8,0.6,1
540,separate and distinct from,Comparison,,0.3,0.1,0,0.1,0.1,0,0.1,0
541,of doubtful value,Clarification,Emphasizing,0.3,0,0,0,0.2,0,0.1,0
542,not long ago,Sequential,Transitionals,0.3,1.1,1.6,2.7,1.1,4.1,1,2.8
543,of major interest,Clarification,Emphasizing,0.3,0.1,0,0,0.1,0,0.1,0
544,of overriding importance,Clarification,Emphasizing,0.3,0.1,0,0,0.1,0,0.1,0
545,up until now,Clarification,Generalization,0.3,0.3,0.9,3.3,0.7,0.6,0.7,1.2
546,of real value,Clarification,Emphasizing,0.3,0.1,0,0,0.1,0.1,0.1,0.1
547,add to that,Clarification,Emphasizing,0.3,0.5,2.8,4,0.4,1.7,1.1,1.7
548,OK,Clarification,Corroborative,0.3,0.9,0.5,5,0.7,1.6,1.2,1.9
549,owing to the fact that,Consequential,Causative,0.3,0.1,0.1,0,0.2,0,0.2,0.1
550,in every aspect,Clarification,Corroborative,0.3,0.6,0.3,0.6,0.4,0.6,0.4,0.5
551,supposedly,Clarification,Corroborative,0.3,0.3,0.7,1.6,0.2,0.5,0.3,0.7
552,be exact,Apposition,Restatement,0.3,0.4,0.8,1.1,0.5,1.1,0.7,1.1
553,apropos,Consequential,Resultative,0.3,0.8,0,0.4,0.1,0.5,0.3,0.6
554,arising out of this,Consequential,Resultative,0.3,0,0.3,0,0.1,0,0.1,0
555,in such an event,Consequential,Resultative,0.3,0.1,0,0,0.1,0,0.2,0
556,a different aspect,Comparison,,0.3,0.3,0.1,0.1,0.2,0.1,0.3,0.1
557,another distinction,Contrastive,Concessive,0.3,0.2,0,0.1,0.1,0.1,0.1,0.1
558,incongruously,Comparison,,0.3,0.3,0,0,0.6,1.2,0.9,0.5
559,as a matter of fact,Contrastive,Concessive,0.2,0.1,0.3,0,0.2,0.1,3.9,7
560,technically speaking,Clarification,Corroborative,0.2,0.3,0.2,0.1,0,0.3,0.2,0.2
561,afore,Sequential,Transitionals,0.2,0.1,3.3,0,0.4,0,1.1,0.2
562,a rare example of,Apposition,Exemplification,0.2,0.1,0,0,0.2,0.1,0.2,0.1
563,of equal weight,Clarification,Emphasizing,0.2,0.1,0,0,0.2,0,0.1,0
564,of less significance,Clarification,Emphasizing,0.2,0,0,0,0.1,0,0.1,0
565,of most value,Clarification,Emphasizing,0.2,0,0,0,0.3,0,0.1,0
566,of profound importance,Clarification,Emphasizing,0.2,0,0,0,0.2,0,0.1,0
567,of strategic importance,Clarification,Emphasizing,0.2,0.2,0.4,0,0,0,0.1,0.1
568,as a matter of fact,Clarification,Emphasizing,0.2,0.2,1.7,3.6,0.3,0.2,3.9,7
569,in just this way,Additive,Equative,0.2,0.1,0,0,0.2,0,0.1,0.1
570,the chief characteristics,Clarification,Emphasizing,0.2,0,0,0,0.1,0,0.1,0
571,hypothetically,Clarification,Corroborative,0.2,0.4,0,0.4,0.1,0.2,0.1,0.3
572,not... either,Additive,Reinforcing,0.2,0.1,0,0.1,0.1,0,0.1,0.1
573,to be frank,Clarification,Corroborative,0.2,0.1,0.3,0.5,0.1,1.2,0.5,0.4
574,by way of comparison,Contrastive,Antithetic,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
575,as to,Clarification,Emphasizing,0.2,0,0.8,0.5,0,0,0.1,0.1
576,for another thing,Sequential,Ordering,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2
577,practically speaking,Clarification,Corroborative,0.1,0.6,0,0.3,0,0.2,0,0.3
578,a notable example of,Apposition,Exemplification,0.1,0.1,0,0,0.1,0,0.1,0
579,academically,Clarification,Corroborative,0.1,0.9,0.1,0.4,0.6,0.7,0.3,0.5
580,another interesting aspect,Additive,Reinforcing,0.1,0.1,0,0,0.2,0,0.1,0
581,and all the time,Sequential,Timing,0.1,0.1,1.5,0.4,0.4,0.1,1.3,0.3
582,as distinct as,Comparison,,0.1,0.1,0,0,0.1,0.1,0,0.1
583,as a final point,Sequential,Transitionals,0.1,0.1,0.2,0,0.1,0,0.1,0
584,aside from this,Additive,Reinforcing,0.1,0.1,0,0.1,0,0.1,0.1,0.1
585,in a year's time,Sequential,Transitionals,0.1,0,0.8,0.2,0.2,0.1,0.5,0.1
586,in the fullness of time,Sequential,Transitionals,0.1,0.1,0.7,0.1,0.6,0.1,0.4,0.1
587,it is an undeniable fact that,Clarification,Corroborative,0.1,0,0,0,0,0,0,0
588,last of all,Sequential,Transitionals,0.1,0.1,0.2,0.1,0.1,0.1,0.3,0.2
589,of primary concern,Clarification,Emphasizing,0.1,0.4,0,0,0.1,0.1,0,0.1
590,one particular feature,Clarification,Generalization,0.1,0,0,0,0,0,0.1,0
591,time to move on,Sequential,Transitionals,0.1,0.2,0,1.1,0.2,0.7,0.3,0.7
592,the most worrying aspect,Clarification,Generalization,0.1,0,0,0,0.1,0,0,0
593,the preferred mode of,Clarification,Generalization,0.1,0.1,0,0,0,0.1,0,0.1
594,just one aspect,Additive,Equative,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1
595,the main issue is,Clarification,Emphasizing,0.1,0.1,0.1,0.2,0,0.1,0,0.1
596,the major point,Clarification,Emphasizing,0.1,0.1,0,0.1,0.1,0,0.1,0.1
597,the most necessary,Clarification,Emphasizing,0.1,0.1,0.2,0,0.1,0,0,0.1
598,whereby,Consequential,Resultative,0.1,0,0.3,0.1,0.2,0,0.1,0
599,piece by piece,Additive,Reinforcing,0.1,0.3,0.4,1,0.3,2.4,0.3,0.8
600,cap it,Additive,Reinforcing,0.1,0,0.4,0.2,0.1,0.2,0.4,0.1
601,crown it all,Additive,Reinforcing,0.1,0,0.1,0,0.1,0,0.1,0
602,oh,Clarification,Corroborative,0.1,0.1,56.8,0.4,1.6,0.2,6.3,0.3
603,to be truthful,Clarification,Corroborative,0.1,0.1,0.3,0.6,0.2,0.2,0.2,0.3
604,what I am saying is,Clarification,Corroborative,0.1,0.1,0.7,0.5,0.1,0.1,0.2,0.2
605,resume,Summation,,0.1,0.3,0.2,1.2,0.1,1.1,0.2,0.8
606,the principal characteristics,Clarification,Generalization,0.1,0,0,0,0.1,0,0,0
607,comparatively speaking,Clarification,Corroborative,0.1,0.1,0.1,0.1,0,0.1,0.1,0.1
608,oppositely,Contrastive,Antithetic,0.1,0.3,0,0,0.4,0.1,0.1,0.1
609,put it bluntly,Apposition,Restatement,0.1,0.2,0.2,0.4,0.2,0.3,0.2,0.3
610,put it mildly,Apposition,Restatement,0.1,0.3,0.5,0.8,0.6,0.6,0.4,0.5
611,in a very short time,Sequential,Transitionals,0.1,0.3,0.2,0.3,0.5,0.3,0.4,0.3
612,after a short time,Sequential,Transitionals,0.1,0.2,0,0,0.2,0.1,0.3,0.1
613,afterward,Sequential,Ordering,0.1,6.5,0.5,3.6,0.7,23.2,0.4,17.1
614,to top it all,Sequential,Timing,0.1,0,0.2,0.1,0.2,0.2,0.2,0.2
615,a striking difference,Contrastive,Antithetic,0.1,0.1,0,0.1,0.2,0,0.1,0.1
616,else,Contrastive,Concessive,0,7,0,10.8,0,50.1,21.9,26.9
617,second of all,Sequential,Ordering,0,0,0.2,2.7,0,0.1,0,0.7
618,in spite of that,Contrastive,Concessive,0,0.1,0.2,0.6,0.1,0.1,0.3,0.3
619,bar none,Clarification,Emphasizing,0,0,0.1,0.3,0.1,0.3,0.1,0.2
620,without a doubt,Apposition,Restatement,0,1.1,1.6,3.3,0.1,2,0.7,2
621,by the by,Sequential,Transitionals,0,0,1.4,0,0,0.1,0.3,0.1
622,with all due respect,Clarification,Generalization,0,0.1,1.4,6,0,0.7,0.3,1.8
623,top it off,Additive,Reinforcing,0,0.1,0,0.4,0,0.7,0,0.5
624,as of yet,Sequential,Transitionals,0,0.3,0,0.8,0,0.2,0,0.4
625,as I was saying,Clarification,Corroborative,0,0.1,3.5,0.9,0.1,0.1,0.8,0.5
626,on top of it all,Additive,Reinforcing,0,0,0.1,0.1,0,0.2,0.1,0.1
627,get back to the point,Summation,,0,0,0.2,0.2,0.1,0,0,0.1
628,okay,Clarification,Corroborative,0,0.3,43.3,1.6,0.1,1.1,4.8,1.6
629,what I mean is,Apposition,Restatement,0,0.1,1.4,0.7,0.1,0.2,0.7,0.6
630,without a shadow of doubt,Clarification,Generalization,0,0,0.1,0,0,0,0.1,0
631,it is about time,Sequential,Timing,0,0,0.1,0.2,0.1,0.2,0.3,0.1
632,in a fortnight's time,Sequential,Transitionals,0,0,0.7,0,0,0,0.4,0
